Trial,Stimulus 1 value,Stimulus 1 std,Stimulus 2 value,Stimulus 2 std
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
6,-7.2,0.5,-0.2,0.0
7,-7.2,1.0,-0.2,0.0
8,-7.2,1.5,-0.2,0.0
9,-7.2,2.0,-0.2,0.0
5,-7.2,0.0,-0.2,0.0
